"Preference Share","1 Item","2 Item","3 Item"
0.278259475925701,"X3","X16","X20"
0.278259475925701,"X3","X17","X20"
0.278259475925701,"X3","X19","X20"
0.278259475925701,"X3","X20","X21"
0.278259475925701,"X3","X20","X22"
0.278259475925701,"X3","X20","X24"
0.278259475925701,"X3","X20","X25"
0.278259475925701,"X3","X20","X26"
0.278259475925701,"X3","X20","X27"
0.278259475925701,"X3","X20","X28"
0.278259475925701,"X3","X20","X30"
0.278259475925701,"X3","X20","X31"
0.278259475925701,"X3","X20","X32"
0.278259475925701,"X3","X20","X33"
0.278259475925701,"X3","X20","X34"
0.278259475925701,"X3","X20","X35"
0.278259475925701,"X3","X20","X36"
0.278259475925701,"X3","X20","X37"
0.278259475925701,"X3","X20","X38"
0.278259475925701,"X3","X20","X40"
0.277719615378881,"X12","X18","X29"
0.277361515356829,"X13","X18","X29"
0.277039047103485,"X12","X13","X29"
0.276734267422436,"X9","X18","X29"
0.276365302059276,"X5","X18","X20"
0.274835099824918,"X18","X20","X29"
0.274079002218049,"X5","X13","X20"
0.27351356688125,"X1","X3","X5"
0.27351356688125,"X2","X3","X5"
0.27351356688125,"X3","X4","X5"
0.27351356688125,"X3","X5","X6"
0.27351356688125,"X3","X5","X7"
0.27351356688125,"X3","X5","X8"
0.27351356688125,"X3","X5","X10"
0.27351356688125,"X3","X5","X11"
0.27351356688125,"X3","X5","X14"
0.27351356688125,"X3","X5","X15"
0.27351356688125,"X3","X5","X16"
0.27351356688125,"X3","X5","X17"
0.27351356688125,"X3","X5","X19"
0.27351356688125,"X3","X5","X21"
0.27351356688125,"X3","X5","X22"
0.27351356688125,"X3","X5","X24"
0.27351356688125,"X3","X5","X25"
0.27351356688125,"X3","X5","X26"
0.27351356688125,"X3","X5","X27"
0.27351356688125,"X3","X5","X28"
0.27351356688125,"X3","X5","X30"
0.27351356688125,"X3","X5","X31"
0.27351356688125,"X3","X5","X32"
0.27351356688125,"X3","X5","X33"
0.27351356688125,"X3","X5","X34"
0.27351356688125,"X3","X5","X35"
0.27351356688125,"X3","X5","X36"
0.27351356688125,"X3","X5","X37"
0.27351356688125,"X3","X5","X38"
0.27351356688125,"X3","X5","X40"
0.273057631395881,"X1","X20","X39"
0.273057631395881,"X2","X20","X39"
0.273057631395881,"X4","X20","X39"
0.273057631395881,"X6","X20","X39"
0.273057631395881,"X7","X20","X39"
0.273057631395881,"X8","X20","X39"
0.273057631395881,"X10","X20","X39"
0.273057631395881,"X11","X20","X39"
0.273057631395881,"X14","X20","X39"
0.273057631395881,"X15","X20","X39"
0.273057631395881,"X16","X20","X39"
0.273057631395881,"X17","X20","X39"
0.273057631395881,"X19","X20","X39"
0.273057631395881,"X20","X21","X39"
0.273057631395881,"X20","X22","X39"
0.273057631395881,"X20","X24","X39"
0.273057631395881,"X20","X25","X39"
0.273057631395881,"X20","X26","X39"
0.273057631395881,"X20","X27","X39"
0.273057631395881,"X20","X28","X39"
0.273057631395881,"X20","X30","X39"
0.273057631395881,"X20","X31","X39"
0.273057631395881,"X20","X32","X39"
0.273057631395881,"X20","X33","X39"
0.273057631395881,"X20","X34","X39"
0.273057631395881,"X20","X35","X39"
0.273057631395881,"X20","X36","X39"
0.273057631395881,"X20","X37","X39"
0.273057631395881,"X20","X38","X39"
0.273057631395881,"X20","X39","X40"
0.271902367218414,"X13","X20","X29"
0.271641291552533,"X5","X12","X29"
0.268600017662637,"X5","X18","X29"
0.267995618691481,"X9","X12","X13"
0.266662746900286,"X1","X3","X29"
0.266662746900286,"X2","X3","X29"
0.266662746900286,"X3","X4","X29"
0.266662746900286,"X3","X6","X29"
0.266662746900286,"X3","X7","X29"
0.266662746900286,"X3","X8","X29"
0.266662746900286,"X3","X10","X29"
0.266662746900286,"X3","X11","X29"
0.266662746900286,"X3","X14","X29"
0.266662746900286,"X3","X15","X29"
0.266662746900286,"X3","X16","X29"
0.266662746900286,"X3","X17","X29"
0.266662746900286,"X3","X19","X29"
0.266662746900286,"X3","X21","X29"
0.266662746900286,"X3","X22","X29"
0.266662746900286,"X3","X24","X29"
0.266662746900286,"X3","X25","X29"
0.266662746900286,"X3","X26","X29"
0.266662746900286,"X3","X27","X29"
0.266662746900286,"X3","X28","X29"
0.266662746900286,"X3","X29","X30"
0.266662746900286,"X3","X29","X31"
0.266662746900286,"X3","X29","X32"
0.266662746900286,"X3","X29","X33"
0.266662746900286,"X3","X29","X34"
0.266662746900286,"X3","X29","X35"
0.266662746900286,"X3","X29","X36"
0.266662746900286,"X3","X29","X37"
0.266662746900286,"X3","X29","X38"
0.266662746900286,"X3","X29","X40"
0.26657761388112,"X1","X5","X39"
0.26657761388112,"X2","X5","X39"
0.26657761388112,"X4","X5","X39"
0.26657761388112,"X5","X6","X39"
0.26657761388112,"X5","X7","X39"
0.26657761388112,"X5","X8","X39"
0.26657761388112,"X5","X10","X39"
0.26657761388112,"X5","X11","X39"
0.26657761388112,"X5","X14","X39"
0.26657761388112,"X5","X15","X39"
0.26657761388112,"X5","X16","X39"
0.26657761388112,"X5","X17","X39"
0.26657761388112,"X5","X19","X39"
0.26657761388112,"X5","X21","X39"
0.26657761388112,"X5","X22","X39"
0.26657761388112,"X5","X24","X39"
0.26657761388112,"X5","X25","X39"
0.26657761388112,"X5","X26","X39"
0.26657761388112,"X5","X27","X39"
0.26657761388112,"X5","X28","X39"
0.26657761388112,"X5","X30","X39"
0.26657761388112,"X5","X31","X39"
0.26657761388112,"X5","X32","X39"
0.26657761388112,"X5","X33","X39"
0.26657761388112,"X5","X34","X39"
0.26657761388112,"X5","X35","X39"
0.26657761388112,"X5","X36","X39"
0.26657761388112,"X5","X37","X39"
0.26657761388112,"X5","X38","X39"
0.26657761388112,"X5","X39","X40"
0.265052342977514,"X1","X29","X39"
0.265052342977514,"X2","X29","X39"
0.265052342977514,"X4","X29","X39"
0.265052342977514,"X6","X29","X39"
0.265052342977514,"X7","X29","X39"
0.265052342977514,"X8","X29","X39"
0.265052342977514,"X10","X29","X39"
0.265052342977514,"X11","X29","X39"
0.265052342977514,"X14","X29","X39"
0.265052342977514,"X15","X29","X39"
0.265052342977514,"X16","X29","X39"
0.265052342977514,"X17","X29","X39"
0.265052342977514,"X19","X29","X39"
0.265052342977514,"X21","X29","X39"
0.265052342977514,"X22","X29","X39"
0.265052342977514,"X24","X29","X39"
0.265052342977514,"X25","X29","X39"
0.265052342977514,"X26","X29","X39"
0.265052342977514,"X27","X29","X39"
0.265052342977514,"X28","X29","X39"
0.265052342977514,"X29","X30","X39"
0.265052342977514,"X29","X31","X39"
0.265052342977514,"X29","X32","X39"
0.265052342977514,"X29","X33","X39"
0.265052342977514,"X29","X34","X39"
0.265052342977514,"X29","X35","X39"
0.265052342977514,"X29","X36","X39"
0.265052342977514,"X29","X37","X39"
0.265052342977514,"X29","X38","X39"
0.265052342977514,"X29","X39","X40"
0.264448653357241,"X5","X13","X29"
0.26397740730012,"X9","X13","X18"
0.262913553212407,"X12","X13","X18"
0.259237228270216,"X1","X9","X39"
0.259237228270216,"X2","X9","X39"
0.259237228270216,"X4","X9","X39"
0.259237228270216,"X6","X9","X39"
0.259237228270216,"X7","X9","X39"
0.259237228270216,"X8","X9","X39"
0.259237228270216,"X9","X10","X39"
0.259237228270216,"X9","X11","X39"
0.259237228270216,"X9","X14","X39"
0.259237228270216,"X9","X15","X39"
0.259237228270216,"X9","X16","X39"
0.259237228270216,"X9","X17","X39"
0.259237228270216,"X9","X19","X39"
0.259237228270216,"X9","X21","X39"
0.259237228270216,"X9","X22","X39"
0.259237228270216,"X9","X24","X39"
0.259237228270216,"X9","X25","X39"
0.259237228270216,"X9","X26","X39"
0.259237228270216,"X9","X27","X39"
0.259237228270216,"X9","X28","X39"
0.259237228270216,"X9","X30","X39"
0.259237228270216,"X9","X31","X39"
0.259237228270216,"X9","X32","X39"
0.259237228270216,"X9","X33","X39"
0.259237228270216,"X9","X34","X39"
0.259237228270216,"X9","X35","X39"
0.259237228270216,"X9","X36","X39"
0.259237228270216,"X9","X37","X39"
0.259237228270216,"X9","X38","X39"
0.259237228270216,"X9","X39","X40"
0.250243001876878,"X1","X3","X13"
0.250243001876878,"X2","X3","X13"
0.250243001876878,"X3","X4","X13"
0.250243001876878,"X3","X6","X13"
0.250243001876878,"X3","X7","X13"
0.250243001876878,"X3","X8","X13"
0.250243001876878,"X3","X10","X13"
0.250243001876878,"X3","X11","X13"
0.250243001876878,"X3","X13","X14"
0.250243001876878,"X3","X13","X15"
0.250243001876878,"X3","X13","X16"
0.250243001876878,"X3","X13","X17"
0.250243001876878,"X3","X13","X19"
0.250243001876878,"X3","X13","X21"
0.250243001876878,"X3","X13","X22"
0.250243001876878,"X3","X13","X24"
0.250243001876878,"X3","X13","X25"
0.250243001876878,"X3","X13","X26"
0.250243001876878,"X3","X13","X27"
0.250243001876878,"X3","X13","X28"
0.250243001876878,"X3","X13","X30"
0.250243001876878,"X3","X13","X31"
0.250243001876878,"X3","X13","X32"
0.250243001876878,"X3","X13","X33"
0.250243001876878,"X3","X13","X34"
0.250243001876878,"X3","X13","X35"
0.250243001876878,"X3","X13","X36"
0.250243001876878,"X3","X13","X37"
0.250243001876878,"X3","X13","X38"
0.250243001876878,"X3","X13","X40"
0.247444100984304,"X5","X20","X29"
0.246103486329922,"X9","X12","X18"
0.245398837707252,"X1","X18","X39"
0.245398837707252,"X2","X18","X39"
0.245398837707252,"X4","X18","X39"
0.245398837707252,"X6","X18","X39"
0.245398837707252,"X7","X18","X39"
0.245398837707252,"X8","X18","X39"
0.245398837707252,"X10","X18","X39"
0.245398837707252,"X11","X18","X39"
0.245398837707252,"X14","X18","X39"
0.245398837707252,"X15","X18","X39"
0.245398837707252,"X16","X18","X39"
0.245398837707252,"X17","X18","X39"
0.245398837707252,"X18","X19","X39"
0.245398837707252,"X18","X21","X39"
0.245398837707252,"X18","X22","X39"
0.245398837707252,"X18","X24","X39"
0.245398837707252,"X18","X25","X39"
0.245398837707252,"X18","X26","X39"
0.245398837707252,"X18","X27","X39"
0.245398837707252,"X18","X28","X39"
0.245398837707252,"X18","X30","X39"
0.245398837707252,"X18","X31","X39"
0.245398837707252,"X18","X32","X39"
0.245398837707252,"X18","X33","X39"
0.245398837707252,"X18","X34","X39"
0.245398837707252,"X18","X35","X39"
0.245398837707252,"X18","X36","X39"
0.245398837707252,"X18","X37","X39"
0.245398837707252,"X18","X38","X39"
0.245398837707252,"X18","X39","X40"
0.244256224109281,"X1","X3","X9"
0.244256224109281,"X2","X3","X9"
0.244256224109281,"X3","X4","X9"
0.244256224109281,"X3","X6","X9"
0.244256224109281,"X3","X7","X9"
0.244256224109281,"X3","X8","X9"
0.244256224109281,"X3","X9","X10"
0.244256224109281,"X3","X9","X11"
0.244256224109281,"X3","X9","X14"
0.244256224109281,"X3","X9","X15"
0.244256224109281,"X3","X9","X16"
0.244256224109281,"X3","X9","X17"
0.244256224109281,"X3","X9","X19"
0.244256224109281,"X3","X9","X21"
0.244256224109281,"X3","X9","X22"
0.244256224109281,"X3","X9","X24"
0.244256224109281,"X3","X9","X25"
0.244256224109281,"X3","X9","X26"
0.244256224109281,"X3","X9","X27"
0.244256224109281,"X3","X9","X28"
0.244256224109281,"X3","X9","X30"
0.244256224109281,"X3","X9","X31"
0.244256224109281,"X3","X9","X32"
0.244256224109281,"X3","X9","X33"
0.244256224109281,"X3","X9","X34"
0.244256224109281,"X3","X9","X35"
0.244256224109281,"X3","X9","X36"
0.244256224109281,"X3","X9","X37"
0.244256224109281,"X3","X9","X38"
0.244256224109281,"X3","X9","X40"
0.24383214889061,"X1","X3","X18"
0.24383214889061,"X2","X3","X18"
0.24383214889061,"X3","X4","X18"
0.24383214889061,"X3","X6","X18"
0.24383214889061,"X3","X7","X18"
0.24383214889061,"X3","X8","X18"
0.24383214889061,"X3","X10","X18"
0.24383214889061,"X3","X11","X18"
0.24383214889061,"X3","X14","X18"
0.24383214889061,"X3","X15","X18"
